transaction_id,transaction_amount,time_of_day,distance_from_home_km,num_transactions_24h,merchant_risk_score,is_fraud
1,33.82,8,0.35,3,0.38,0
2,109.57,11,2.8,1,0.141,0
3,73.45,11,19.25,2,0.142,0
4,7.54,23,14.87,2,0.238,0
5,65.25,7,0.01,0,0.102,0
6,24.9,18,4.57,1,0.077,0
7,16.14,20,15.54,2,0.0,0
8,77.06,8,17.1,2,0.568,0
9,49.42,1,30.54,1,0.144,0
10,10.94,11,10.32,3,0.637,0
11,39.39,9,54.25,0,0.33,0
12,232.85,5,11.52,2,0.0,0
13,29.75,2,7.34,3,0.366,0
14,35.42,13,10.28,4,0.0,0
15,17.32,9,14.2,4,0.225,0
16,23.63,10,24.75,1,0.546,0
17,52.49,5,5.05,4,0.29,0
18,126.3,17,13.59,2,0.28,0
19,57.44,9,5.02,3,0.245,0
20,41.03,11,60.99,3,0.447,0
21,93.55,17,7.58,0,0.22,0
22,13.55,1,6.2,2,0.228,0
23,208.99,21,13.25,0,0.297,0
24,73.43,20,18.6,1,0.439,0
25,99.73,2,3.59,5,0.117,0
26,27.78,13,15.15,1,0.106,0
27,38.9,10,23.7,3,0.545,0
28,42.14,23,7.85,2,0.689,0
29,47.35,8,9.17,1,0.209,0
30,79.94,21,24.17,1,0.099,0
31,92.77,2,35.01,2,0.093,0
32,13.28,20,9.29,5,0.268,0
33,85.32,13,8.97,2,0.209,0
34,135.52,11,6.34,6,0.173,0
35,144.78,5,12.04,4,0.233,0
36,104.52,9,13.83,2,0.595,0
37,76.73,15,18.72,4,0.064,0
38,39.04,14,18.59,2,0.528,0
39,91.52,13,23.42,1,0.216,0
40,42.17,5,0.59,3,0.471,0
41,8.54,21,1.26,5,0.317,0
42,120.66,6,1.16,2,0.305,0
43,23.6,15,2.56,3,0.067,0
44,6.29,12,13.47,1,0.358,0
45,37.33,2,3.42,3,0.16,0
46,45.61,19,3.22,2,0.609,0
47,20.55,19,3.71,2,0.236,0
48,90.49,6,19.54,4,0.184,0
49,47.41,15,2.21,0,0.249,0
50,192.92,19,16.25,2,0.218,0
51,19.38,15,7.85,1,0.47,0
52,67.04,5,10.0,1,0.458,0
53,78.18,11,2.32,2,0.373,0
54,194.86,23,3.09,2,0.336,0
55,102.3,16,28.97,0,0.145,0
56,36.17,0,29.81,0,0.406,0
57,56.19,3,7.56,2,0.674,0
58,62.9,5,17.33,4,0.165,0
59,51.81,12,16.01,2,0.206,0
60,61.29,8,26.26,1,0.0,0
61,30.06,4,3.23,6,0.272,0
62,27.5,19,17.12,0,0.227,0
63,59.99,23,52.18,1,0.15,0
64,103.61,9,29.82,1,0.165,0
65,77.21,20,3.41,2,0.277,0
66,197.56,5,11.78,4,0.318,0
67,34.64,15,27.02,4,0.515,0
68,107.41,5,9.83,1,0.004,0
69,174.61,5,3.22,3,0.06,0
70,53.18,12,1.36,0,0.187,0
71,475.37,23,23.53,0,0.486,0
72,184.02,6,2.35,1,0.088,0
73,31.37,14,43.25,0,0.319,0
74,16.51,0,1.23,4,0.309,0
75,298.32,2,33.59,1,0.04,0
76,7.88,0,5.92,1,0.465,0
77,198.33,12,2.25,2,0.145,0
78,35.34,1,25.68,3,0.0,0
79,10.07,15,10.3,3,0.557,0
80,236.53,6,34.98,2,0.229,0
81,64.99,0,5.15,2,0.123,0
82,18.5,3,32.52,2,0.0,0
83,53.29,17,20.23,1,0.336,0
84,61.0,22,0.96,1,0.294,0
85,56.09,16,0.22,3,0.0,0
86,37.17,13,13.38,4,0.416,0
87,35.21,4,16.2,1,0.0,0
88,170.58,15,10.96,0,0.104,0
89,57.16,18,6.47,1,0.602,0
90,54.07,3,12.46,3,0.147,0
91,27.96,17,23.05,0,0.182,0
92,167.07,21,42.35,4,0.268,0
93,52.99,18,31.7,1,0.319,0
94,107.03,7,1.54,3,0.039,0
95,45.91,20,6.04,0,0.34,0
96,48.65,13,8.89,3,0.417,0
97,122.82,19,17.07,1,0.0,0
98,141.01,1,23.99,1,0.0,0
99,40.02,21,24.59,0,0.121,0
100,45.89,20,5.89,1,0.34,0
101,7.39,13,10.01,2,0.241,0
102,141.6,14,13.29,2,0.094,0
103,30.74,22,3.59,2,0.056,0
104,266.31,19,4.23,3,0.0,0
105,11.25,1,28.26,0,0.087,0
106,275.78,11,70.13,1,0.212,0
107,18.67,13,16.14,1,0.09,0
108,30.29,0,36.6,1,0.484,0
109,162.81,11,2.53,2,0.484,0
110,102.37,20,0.51,4,0.0,0
111,10.95,15,16.12,3,0.448,0
112,143.56,15,9.3,4,0.628,0
113,16.7,16,27.49,4,0.021,0
114,121.07,16,6.73,0,0.049,0
115,95.01,2,5.92,4,0.0,0
116,20.75,10,12.37,1,0.245,0
117,46.85,1,24.51,2,0.37,0
118,64.06,8,9.27,4,0.253,0
119,203.98,19,5.36,2,0.19,0
120,84.0,7,22.1,4,0.474,0
121,63.39,22,21.78,0,0.768,0
122,7.97,5,11.09,0,0.391,0
123,69.67,3,7.14,2,0.449,0
124,114.68,18,21.11,1,0.0,0
125,21.94,21,9.0,6,0.241,0
126,153.37,8,6.82,1,0.061,0
127,65.18,7,2.88,2,0.166,0
128,23.6,18,14.97,2,0.381,0
129,60.0,4,23.78,2,0.0,0
130,43.1,13,35.06,1,0.224,0
131,217.13,2,40.95,1,0.259,0
132,9.52,10,31.44,3,0.0,0
133,71.53,20,27.02,4,0.449,0
134,53.92,6,0.08,2,0.365,0
135,16.62,21,46.93,1,0.344,0
136,26.5,1,26.71,1,0.0,0
137,56.78,13,12.72,3,0.752,0
138,23.59,10,0.73,4,0.134,0
139,222.9,3,7.87,1,0.643,0
140,9.17,9,17.81,3,0.52,0
141,59.26,21,18.85,1,0.084,0
142,22.33,7,14.06,2,0.623,0
143,95.92,10,6.33,1,0.126,0
144,213.16,1,37.42,0,0.545,0
145,40.07,11,24.34,1,0.519,0
146,192.71,4,15.4,3,0.248,0
147,30.92,15,3.69,6,0.253,0
148,35.65,9,44.12,4,0.386,0
149,37.46,6,15.31,4,0.423,0
150,7.78,1,13.08,0,0.366,0
151,234.54,1,2.52,1,0.361,0
152,146.01,8,9.32,0,0.257,0
153,126.43,17,7.37,5,0.574,0
154,63.28,20,0.64,0,0.0,0
155,30.46,21,24.68,3,0.0,0
156,5.26,8,18.05,1,0.35,0
157,162.06,14,17.14,1,0.296,0
158,18.09,9,2.09,1,0.114,0
159,226.86,22,3.92,3,0.254,0
160,229.96,5,14.44,2,0.276,0
161,8.33,17,11.13,2,0.605,0
162,14.39,10,14.95,0,0.049,0
163,32.71,6,16.67,2,0.227,0
164,151.8,19,3.31,2,0.533,0
165,25.95,8,6.57,1,0.0,0
166,41.98,13,15.67,3,0.0,0
167,38.06,18,0.62,0,0.444,0
168,5.68,11,11.37,3,0.534,0
169,53.22,15,19.65,1,0.127,0
170,168.24,5,14.22,1,0.268,0
171,67.45,3,4.91,3,0.16,0
172,103.15,14,0.75,1,0.212,0
173,165.91,12,1.25,2,0.0,0
174,60.98,17,5.45,1,0.298,0
175,39.39,6,65.99,0,0.092,0
176,95.65,20,8.4,0,0.381,0
177,86.31,10,11.96,3,0.37,0
178,80.83,12,3.81,2,0.299,0
179,73.79,14,22.53,3,0.44,0
180,41.5,4,5.74,3,0.462,0
181,70.04,20,3.78,4,0.115,0
182,11.8,17,9.16,1,0.421,0
183,25.35,13,8.98,1,0.076,0
184,59.4,9,8.27,3,0.159,0
185,48.18,14,16.16,1,0.521,0
186,125.74,11,26.51,0,0.226,0
187,21.44,4,1.79,3,0.281,0
188,49.9,1,10.5,1,0.437,0
189,281.48,8,4.23,2,0.263,0
190,42.15,12,1.46,1,0.324,0
191,59.11,11,30.0,5,0.131,0
192,54.36,18,7.29,1,0.0,0
193,202.53,20,34.96,2,0.385,0
194,30.39,8,9.41,1,0.0,0
195,31.36,8,1.59,2,0.451,0
196,56.58,18,1.8,1,0.36,0
197,116.81,2,6.47,2,0.113,0
198,46.08,9,2.51,7,0.253,0
199,81.28,19,1.34,2,0.426,0
200,5.45,4,6.08,3,0.275,0
201,39.28,11,41.43,2,0.481,0
202,194.33,6,23.96,0,0.0,0
203,12.16,7,7.67,0,0.0,0
204,21.92,4,6.03,0,0.333,0
205,69.02,5,4.06,4,0.268,0
206,28.09,3,25.81,1,0.391,0
207,116.3,12,3.2,0,0.165,0
208,310.5,12,31.87,2,0.317,0
209,18.87,16,2.18,2,0.0,0
